customer_id,due_date,paid_date,amount_due,amount_paid,dpd_days,bounce_flag
C000000,2024-01-05,2024-01-05,16854.0,16854.0,0,0
C000000,2024-02-05,2024-02-05,16854.0,16854.0,0,0
C000000,2024-03-05,2024-03-05,16854.0,16854.0,0,0
C000000,2024-04-05,2024-04-05,16854.0,16854.0,0,0
C000000,2024-05-05,2024-05-05,16854.0,16854.0,0,0
C000000,2024-06-05,2024-06-05,16854.0,16854.0,0,0
C000000,2024-07-05,2024-07-05,16854.0,16854.0,0,0
C000000,2024-08-05,2024-08-05,16854.0,16854.0,0,0
C000000,2024-09-05,2024-09-05,16854.0,16854.0,0,0
C000000,2024-10-05,2024-10-05,16854.0,16854.0,0,0
C000000,2024-11-05,2024-11-05,16854.0,16854.0,0,0
C000000,2024-12-05,2024-12-05,16854.0,16854.0,0,0
C000001,2024-01-05,2024-01-05,12635.0,12635.0,0,0
C000001,2024-02-05,2024-02-05,12635.0,12635.0,0,0
C000001,2024-03-05,2024-03-05,12635.0,12635.0,0,0
C000001,2024-04-05,2024-04-05,12635.0,12635.0,0,0
C000001,2024-05-05,2024-05-05,12635.0,12635.0,0,0
C000001,2024-06-05,2024-06-05,12635.0,12635.0,0,0
C000001,2024-07-05,2024-07-05,12635.0,12635.0,0,0
C000001,2024-08-05,2024-08-05,12635.0,12635.0,0,0
C000001,2024-09-05,2024-09-05,12635.0,12635.0,0,0
C000001,2024-10-05,2024-10-05,12635.0,12635.0,0,0
C000001,2024-11-05,2024-11-05,12635.0,12635.0,0,0
C000001,2024-12-05,2024-12-05,12635.0,12635.0,0,0
C000002,2024-01-05,2024-01-05,23211.0,23211.0,0,0
C000002,2024-02-05,2024-02-05,23211.0,23211.0,0,0
C000002,2024-03-05,2024-03-05,23211.0,23211.0,0,0
C000002,2024-04-05,2024-04-05,23211.0,23211.0,0,0
C000002,2024-05-05,2024-05-30,23211.0,0.0,25,1
C000002,2024-06-05,2024-06-05,23211.0,23211.0,0,0
C000002,2024-07-05,2024-07-19,23211.0,0.0,14,1
C000002,2024-08-05,2024-08-31,23211.0,0.0,26,1
C000002,2024-09-05,2024-09-21,23211.0,0.0,16,1
C000002,2024-10-05,2024-10-05,23211.0,23211.0,0,0
C000002,2024-11-05,2024-12-01,23211.0,0.0,26,1
C000002,2024-12-05,2024-12-05,23211.0,23211.0,0,0
C000003,2024-01-05,2024-01-05,28202.0,28202.0,0,0
C000003,2024-02-05,2024-02-05,28202.0,28202.0,0,0
C000003,2024-03-05,2024-03-05,28202.0,28202.0,0,0
C000003,2024-04-05,2024-04-05,28202.0,28202.0,0,0
C000003,2024-05-05,2024-05-05,28202.0,28202.0,0,0
C000003,2024-06-05,2024-06-05,28202.0,28202.0,0,0
C000003,2024-07-05,2024-07-19,28202.0,0.0,14,1
C000003,2024-08-05,2024-08-05,28202.0,28202.0,0,0
C000003,2024-09-05,2024-09-29,28202.0,0.0,24,1
C000003,2024-10-05,2024-10-26,28202.0,0.0,21,1
C000003,2024-11-05,2024-11-26,28202.0,0.0,21,1
C000003,2024-12-05,2024-12-31,28202.0,0.0,26,1
C000004,2024-01-05,2024-01-05,14149.0,14149.0,0,0
C000004,2024-02-05,2024-02-05,14149.0,14149.0,0,0
C000004,2024-03-05,2024-03-05,14149.0,14149.0,0,0
C000004,2024-04-05,2024-04-05,14149.0,14149.0,0,0
C000004,2024-05-05,2024-05-05,14149.0,14149.0,0,0
C000004,2024-06-05,2024-06-05,14149.0,14149.0,0,0
C000004,2024-07-05,2024-07-05,14149.0,14149.0,0,0
C000004,2024-08-05,2024-08-05,14149.0,14149.0,0,0
C000004,2024-09-05,2024-09-05,14149.0,14149.0,0,0
C000004,2024-10-05,2024-10-05,14149.0,14149.0,0,0
C000004,2024-11-05,2024-11-05,14149.0,14149.0,0,0
C000004,2024-12-05,2024-12-05,14149.0,14149.0,0,0
C000005,2024-01-05,2024-01-05,31840.0,31840.0,0,0
C000005,2024-02-05,2024-02-05,31840.0,31840.0,0,0
C000005,2024-03-05,2024-03-05,31840.0,31840.0,0,0
C000005,2024-04-05,2024-04-05,31840.0,31840.0,0,0
C000005,2024-05-05,2024-05-05,31840.0,31840.0,0,0
C000005,2024-06-05,2024-06-05,31840.0,31840.0,0,0
C000005,2024-07-05,2024-07-05,31840.0,31840.0,0,0
C000005,2024-08-05,2024-08-05,31840.0,31840.0,0,0
C000005,2024-09-05,2024-09-05,31840.0,31840.0,0,0
C000005,2024-10-05,2024-10-05,31840.0,31840.0,0,0
