customer_id,label_28d,scoring_date
C000000,0,2024-11-01
C000001,0,2024-11-01
C000002,1,2024-11-01
C000003,1,2024-11-01
C000004,0,2024-11-01
C000005,0,2024-11-01
C000006,0,2024-11-01
C000007,0,2024-11-01
C000008,0,2024-11-01
C000009,0,2024-11-01
C000010,1,2024-11-01
C000011,0,2024-11-01
C000012,0,2024-11-01
C000013,0,2024-11-01
C000014,1,2024-11-01
C000015,0,2024-11-01
C000016,0,2024-11-01
C000017,0,2024-11-01
C000018,1,2024-11-01
C000019,0,2024-11-01
C000020,1,2024-11-01
C000021,0,2024-11-01
C000022,0,2024-11-01
C000023,0,2024-11-01
C000024,0,2024-11-01
C000025,1,2024-11-01
C000026,1,2024-11-01
C000027,0,2024-11-01
C000028,0,2024-11-01
C000029,0,2024-11-01
C000030,0,2024-11-01
C000031,1,2024-11-01
C000032,0,2024-11-01
C000033,0,2024-11-01
C000034,1,2024-11-01
C000035,0,2024-11-01
C000036,0,2024-11-01
C000037,0,2024-11-01
C000038,0,2024-11-01
C000039,0,2024-11-01
C000040,0,2024-11-01
C000041,0,2024-11-01
C000042,0,2024-11-01
C000043,0,2024-11-01
C000044,0,2024-11-01
C000045,1,2024-11-01
C000046,0,2024-11-01
C000047,0,2024-11-01
C000048,0,2024-11-01
C000049,0,2024-11-01
C000050,0,2024-11-01
C000051,0,2024-11-01
C000052,0,2024-11-01
C000053,0,2024-11-01
C000054,0,2024-11-01
C000055,0,2024-11-01
C000056,0,2024-11-01
C000057,0,2024-11-01
C000058,0,2024-11-01
C000059,0,2024-11-01
C000060,0,2024-11-01
C000061,0,2024-11-01
C000062,0,2024-11-01
C000063,0,2024-11-01
C000064,0,2024-11-01
C000065,1,2024-11-01
C000066,0,2024-11-01
C000067,1,2024-11-01
C000068,0,2024-11-01
C000069,0,2024-11-01
C000070,0,2024-11-01
C000071,0,2024-11-01
C000072,0,2024-11-01
C000073,0,2024-11-01
C000074,1,2024-11-01
C000075,0,2024-11-01
C000076,1,2024-11-01
C000077,1,2024-11-01
C000078,0,2024-11-01
C000079,0,2024-11-01
C000080,0,2024-11-01
C000081,0,2024-11-01
C000082,0,2024-11-01
C000083,1,2024-11-01
C000084,0,2024-11-01
C000085,0,2024-11-01
C000086,0,2024-11-01
C000087,0,2024-11-01
C000088,0,2024-11-01
C000089,1,2024-11-01
C000090,0,2024-11-01
C000091,1,2024-11-01
C000092,0,2024-11-01
C000093,0,2024-11-01
C000094,0,2024-11-01
C000095,1,2024-11-01
C000096,0,2024-11-01
C000097,0,2024-11-01
C000098,0,2024-11-01
C000099,0,2024-11-01
C000100,0,2024-11-01
C000101,1,2024-11-01
C000102,1,2024-11-01
C000103,0,2024-11-01
C000104,1,2024-11-01
C000105,1,2024-11-01
C000106,0,2024-11-01
C000107,0,2024-11-01
C000108,0,2024-11-01
C000109,1,2024-11-01
C000110,0,2024-11-01
C000111,1,2024-11-01
C000112,0,2024-11-01
C000113,0,2024-11-01
C000114,0,2024-11-01
C000115,0,2024-11-01
C000116,0,2024-11-01
C000117,0,2024-11-01
C000118,0,2024-11-01
C000119,0,2024-11-01
C000120,0,2024-11-01
C000121,0,2024-11-01
C000122,0,2024-11-01
C000123,0,2024-11-01
C000124,0,2024-11-01
C000125,0,2024-11-01
C000126,0,2024-11-01
C000127,0,2024-11-01
C000128,0,2024-11-01
C000129,0,2024-11-01
C000130,0,2024-11-01
C000131,0,2024-11-01
C000132,0,2024-11-01
C000133,0,2024-11-01
C000134,1,2024-11-01
C000135,0,2024-11-01
C000136,1,2024-11-01
C000137,0,2024-11-01
C000138,0,2024-11-01
C000139,0,2024-11-01
C000140,0,2024-11-01
C000141,0,2024-11-01
C000142,1,2024-11-01
C000143,1,2024-11-01
C000144,0,2024-11-01
C000145,1,2024-11-01
C000146,1,2024-11-01
C000147,1,2024-11-01
C000148,1,2024-11-01
C000149,0,2024-11-01
C000150,0,2024-11-01
C000151,0,2024-11-01
C000152,0,2024-11-01
C000153,0,2024-11-01
C000154,0,2024-11-01
C000155,0,2024-11-01
C000156,0,2024-11-01
C000157,1,2024-11-01
C000158,0,2024-11-01
C000159,0,2024-11-01
C000160,0,2024-11-01
C000161,0,2024-11-01
C000162,0,2024-11-01
C000163,1,2024-11-01
C000164,0,2024-11-01
C000165,0,2024-11-01
C000166,0,2024-11-01
C000167,0,2024-11-01
C000168,0,2024-11-01
C000169,1,2024-11-01
C000170,0,2024-11-01
C000171,0,2024-11-01
C000172,0,2024-11-01
C000173,0,2024-11-01
C000174,1,2024-11-01
C000175,0,2024-11-01
C000176,0,2024-11-01
C000177,0,2024-11-01
C000178,1,2024-11-01
C000179,0,2024-11-01
C000180,0,2024-11-01
C000181,0,2024-11-01
C000182,0,2024-11-01
C000183,0,2024-11-01
C000184,1,2024-11-01
C000185,0,2024-11-01
C000186,0,2024-11-01
C000187,0,2024-11-01
C000188,0,2024-11-01
C000189,0,2024-11-01
C000190,0,2024-11-01
C000191,0,2024-11-01
C000192,0,2024-11-01
C000193,1,2024-11-01
C000194,1,2024-11-01
C000195,0,2024-11-01
C000196,1,2024-11-01
C000197,0,2024-11-01
C000198,0,2024-11-01
C000199,0,2024-11-01
